class,line
12,92
12,196
12,285
18,50
18,51
18,52
18,60
18,63
18,66
18,68
18,71
18,72
18,73
18,75
18,76
18,79
18,80
18,81
18,84
18,87
18,89
18,91
18,92
18,94
18,95
18,98
18,101
18,104
18,107
18,110
18,112
18,114
18,115
18,117
18,118
18,121
18,124
18,125
18,126
18,127
18,129
18,131
18,132
18,136
18,184
19,100
19,101
19,103
19,106
19,108
19,111
19,112
19,113
19,114
19,115
19,116
19,117
19,118
19,123
19,130
19,133
19,134
19,142
19,145
19,148
19,152
19,155
19,158
19,159
19,160
19,161
19,163
19,172
19,173
19,175
19,176
19,178
19,179
19,180
19,182
19,189
19,190
19,191
19,192
19,193
19,195
19,197
19,198
19,200
19,202
19,204
19,205
19,209
19,210
19,212
19,213
19,215
19,216
19,219
19,220
19,221
19,569
19,575
14,1297
14,1298
14,1288
14,1289
